Edge ID,Start Node,Start Name,Start Coordinates,End Node,End Name,End Coordinates,distance_km,system_ID,start_point_idx,end_point_idx
grid_30.9_-120.3-grid_19.5_-106.8,grid_30.9_-120.3,grid_30.9_-120.3,"(-120.3, 30.9)",grid_19.5_-106.8,grid_19.5_-106.8,"(-106.8, 19.5)",1853.2049033770727,2000.18,40,41
grid_19.5_-106.8-pt_9.0794_-79.9139,grid_19.5_-106.8,grid_19.5_-106.8,"(-106.8, 19.5)",pt_9.0794_-79.9139,"Amador, Panama","(-79.9139, 9.0794)",3115.679020463457,2000.18,41,42
pt_10.722251_-62.478069-pt_8.9333_-79.55,pt_10.722251_-62.478069,"Puerto Viejo, Venezuela","(-62.4780691, 10.7222514)",pt_8.9333_-79.55,"Amador, Panama","(-79.55, 8.9333)",1882.8725414157946,2000.18,43,44
pt_10.722251_-62.478069-pt_17.732_-64.748,pt_10.722251_-62.478069,"Puerto Viejo, Venezuela","(-62.4780691, 10.7222514)",pt_17.732_-64.748,"St. Croix, nan","(-64.748, 17.732)",813.2948481287106,2000.18,43,45
pt_32.5364_-117.0372-grid_30.9_-120.3,pt_32.5364_-117.0372,"Tijuana, Mexico","(-117.0372, 32.5364)",grid_30.9_-120.3,grid_30.9_-120.3,"(-120.3, 30.9)",358.52258330975775,2000.18,46,40
pt_23.2414_-106.4097-grid_19.5_-106.8,pt_23.2414_-106.4097,"Mazatlan, Mexico","(-106.4097, 23.2414)",grid_19.5_-106.8,grid_19.5_-106.8,"(-106.8, 19.5)",416.22787695511374,2000.18,47,41
pt_36.2306_140.3643-grid_44.8_159.0,pt_36.2306_140.3643,"Ajigaura, Japan","(140.3643, 36.2306)",grid_44.8_159.0,grid_44.8_159.0,"(159.0, 44.8)",1837.2958584835235,2000.19,48,49
grid_44.8_159.0-pt_47.9161_-122.3031,grid_44.8_159.0,grid_44.8_159.0,"(159.0, 44.8)",pt_47.9161_-122.3031,"Harbour Pointe, United States","(-122.3031, 47.9161)",5794.562631981478,2000.19,49,50
pt_34.3282_136.8297-grid_44.8_159.0,pt_34.3282_136.8297,"Shima, Japan","(136.8297, 34.3282)",grid_44.8_159.0,grid_44.8_159.0,"(159.0, 44.8)",2220.8323726739577,2000.19,51,49
grid_44.8_159.0-pt_35.1208_-120.6194,grid_44.8_159.0,grid_44.8_159.0,"(159.0, 44.8)",pt_35.1208_-120.6194,"Grover Beach, United States","(-120.6194, 35.1208)",6670.143833925212,2000.19,49,52
pt_35.1208_-120.6194-pt_47.9161_-122.3031,pt_35.1208_-120.6194,"Grover Beach, United States","(-120.6194, 35.1208)",pt_47.9161_-122.3031,"Harbour Pointe, United States","(-122.3031, 47.9161)",1427.9398383263497,2000.19,52,50
pt_36.2306_140.3643-pt_34.3282_136.8297,pt_36.2306_140.3643,"Ajigaura, Japan","(140.3643, 36.2306)",pt_34.3282_136.8297,"Shima, Japan","(136.8297, 34.3282)",384.60104211331316,2000.19,48,51
pt_40.7569_-72.9417-pt_50.7833_-4.5833,pt_40.7569_-72.9417,"Bellport, United States","(-72.9417, 40.7569)",pt_50.7833_-4.5833,"Widemouth Bay, Bude, Great Britain","(-4.5833, 50.7833)",5236.395059128723,2000.1,53,54
pt_55.4147_8.37955-pt_54.6186_-1.0686,pt_55.4147_8.37955,"Måde, Denmark","(8.37955, 55.4147)",pt_54.6186_-1.0686,"Redcar, Great Britain","(-1.0686, 54.6186)",610.3496532473575,2000.21,55,56
pt_52.4864_4.6572-pt_52.48_1.75,pt_52.4864_4.6572,"Beverwijk, Netherlands","(4.6572, 52.4864)",pt_52.48_1.75,"Lowestoft, Great Britain","(1.75, 52.48)",197.49182977410814,2000.22,57,58
pt_51.2336_2.9756-pt_51.3589_1.4394,pt_51.2336_2.9756,"Bredene, Belgium","(2.9756, 51.2336)",pt_51.3589_1.4394,"Broadstairs, Great Britain","(1.4394, 51.3589)",108.05043995933714,2000.23,59,60
pt_50.77_0.1-pt_49.8736_0.7994,pt_50.77_0.1,"Seaford, Great Britain","(0.1, 50.77)",pt_49.8736_0.7994,"Veules les Roses, France","(0.7994, 49.8736)",111.45823335968403,2000.23,61,62
