Node ID,Name,Longitude,Latitude,Hop_ID,system_ID,Country
pt_36.2756_-6.0877,"Conil, Spain",-6.0877,36.2756,66,2000.25,Spain
pt_-33.0461_-71.6197,"Valparaiso, Chile",-71.6197,-33.0461,67,2000.27,Chile
pt_-12.238906_-76.784493,"Lurin, Peru",-76.7844926,-12.2389059,68,2000.27,Peru
pt_8.9333_-79.55,"Amador, Panama",-79.55,8.9333,69,2000.27,Panama
pt_-23.9608_-46.3339,"Santos, Brazil",-46.3339,-23.9608,70,2000.27,Brazil
pt_-36.4833_-56.7,"Las Toninas, Argentina",-56.7,-36.4833,71,2000.27,Argentina
pt_-22.9111_-43.2056,"Rio de Janeiro, Brazil",-43.2056,-22.9111,72,2000.27,Brazil
pt_-3.7275_-38.5275,"Fortaleza, Brazil",-38.5275,-3.7275,73,2000.27,Brazil
pt_17.732_-64.748,"St Croix, US Virgin Islands , nan",-64.748,17.732,74,2000.27,United States Virgin Islands
pt_10.722251_-62.478069,"Puerto Viejo, Venezuela",-62.4780691,10.7222514,75,2000.27,Venezuela
pt_56.0424_12.721,"Helsingborg, Sweden",12.721,56.0424,76,2000.28,Sweden
pt_56.036_12.6106,"Helsingõr, Denmark",12.6106,56.036,77,2000.28,Denmark
pt_55.5448_12.9237,"Brunkeflostrand, Sweden",12.9237,55.5448,78,2000.29,Sweden
pt_55.5925_12.6722,"Dragõr, Denmark",12.6722,55.5925,79,2000.29,Denmark
pt_41.3133_19.4458,"Durres, Albania",19.4458,41.3133,80,2000.2,Albania
pt_39.6239_19.82,"Corfu, Greece",19.82,39.6239,81,2000.2,Greece
pt_54.7136_-5.8075,"Carrickfergus, Great Britain",-5.8075,54.7136,82,2000.3,United Kingdom
pt_55.6352_-4.7896,"Saltcoats, Great Britain",-4.7896,55.6352,83,2000.3,United Kingdom
pt_53.3497_-6.2603,"Dublin, Ireland",-6.2603,53.3497,84,2000.31,Ireland
pt_53.8167_-3.05,"Blackpool, Great Britain",-3.05,53.8167,85,2000.31,United Kingdom
pt_52.1667_-6.5833,"Kilmore Quay, Ireland",-6.5833,52.1667,86,2000.32,Ireland
pt_51.5467_-4.2122,"Port Eynon Beach, Great Britain",-4.2122,51.5467,87,2000.32,United Kingdom
pt_-36.787_174.622,"Whenuapai, New Zealand",174.622,-36.787,88,2000.33,New Zealand
pt_-33.9022_151.2004,"Alexandria, Australia, Australia",151.2004,-33.9022,89,2000.33,Australia
pt_-36.787_174.772,"Takapuna, New Zealand",174.772,-36.787,90,2000.33,New Zealand
grid_-29.9_161.5,grid_-29.9_161.5,161.5,-29.9,91,2000.33,grid_-29.9_161.5
grid_-29.4_162.25,grid_-29.4_162.25,162.25,-29.4,92,2000.33,grid_-29.4_162.25
grid_-28.9_163.0,grid_-28.9_163.0,163,-28.9,93,2000.33,grid_-28.9_163.0
pt_20.024_-155.822,"Spencer Beach, nan",-155.822,20.024,94,2000.33,Hawaii
pt_35.3792_-120.8533,"Morro Bay, United States",-120.8533,35.3792,95,2000.33,United States
pt_45.5228_-122.9897,"Hillsboro, United States",-122.9897,45.5228,96,2000.33,United States
pt_21.354973_-158.130271,"Kahe Point, nan",-158.1302707,21.354973,97,2000.33,Hawaii
pt_45.644_-123.94,"Nedonna Beach, United States",-123.94,45.644,98,2000.33,United States
pt_-18.1333_178.4333,"Suva, nan",178.4333,-18.1333,99,2000.33,Fiji
grid_-16.8_-173.65,grid_-16.8_-173.65,-173.65,-16.8,100,2000.33,grid_-16.8_-173.65
grid_-16.4_-173.45,grid_-16.4_-173.45,-173.45,-16.4,101,2000.33,grid_-16.4_-173.45
grid_-16.0_-173.25,grid_-16.0_-173.25,-173.25,-16,102,2000.33,grid_-16.0_-173.25
pt_-33.765_151.2678,"Brookvale, Australia",151.2678,-33.765,103,2000.33,Australia
grid_-16.792613_-173.646307,grid_-16.792613_-173.646307,-173.6463066,-16.79261316,104,2000.33,grid_-16.792613_-173.646307
grid_-16.392724_-173.446362,grid_-16.392724_-173.446362,-173.4463621,-16.39272424,105,2000.33,grid_-16.392724_-173.446362
